uuid,acq,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
942a7191,UCB,1000.0,2018-08-21 22:42:36.371399,50.0,50.0,50.0,,1000.0,funcs,[4.27622935],[-4.27622935],0.01,dngo,20.0,200.0,942a7191--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-bohachevsky,median,20.0,1.0,200.0,bohachevsky,1.0,0.0
946b830a,UCB,1000.0,2018-08-21 12:46:32.713747,50.0,50.0,50.0,,1000.0,funcs,[0.74091854],[-3.74091854],0.01,dngo,20.0,200.0,946b830a--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-goldsteinprice,median,20.0,1.0,200.0,goldsteinprice,1.0,0.0
94988cea,UCB,1000.0,2018-08-21 14:07:20.859875,50.0,50.0,50.0,,1000.0,funcs,[1.07846979e-11],[-1.07846979e-11],0.01,gp,20.0,200.0,94988cea--g-funcs-s-1-m-gp-init-20-k-200-f-levy,median,0.0,1.0,200.0,levy,1.0,0.0
9753b1cb,UCB,1000.0,2018-08-21 15:07:40.086271,50.0,50.0,50.0,,1000.0,funcs,[2.90362281e-05],[-0.00187171],0.01,dngo,20.0,200.0,9753b1cb--g-funcs-s-1-m-dngo-init-20-k-200-f-sintwo,median,0.0,1.0,200.0,sintwo,1.0,0.0
97ae9a86,UCB,1000.0,2018-08-21 11:50:51.030344,50.0,50.0,50.0,,1000.0,funcs,[1.25220945e-11],[-0.04292634],0.01,dngo,20.0,200.0,97ae9a86--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-sinone,median,0.0,5.0,200.0,sinone,1.0,0.0
97f648c9,UCB,1000.0,2018-08-21 15:24:35.105793,50.0,50.0,50.0,,1000.0,funcs,[1.06201676e-06],[1.03162736],0.01,gp,20.0,200.0,97f648c9--g-funcs-s-1-m-gp-init-20-k-200-f-camelback,median,0.0,1.0,200.0,camelback,1.0,0.0
9969018d,UCB,1000.0,2018-08-21 10:46:11.030188,50.0,50.0,50.0,,1000.0,ensemble_size,[0.00022562],[-0.39811298],0.01,dngo,20.0,200.0,9969018d--g-ensemble_size-s-1-m-dngo-init-20-k-200-f-branin-nn-10-agg-max,max,0.0,10.0,200.0,branin,1.0,0.0
9a325267,UCB,1000.0,2018-08-21 10:45:41.416710,50.0,50.0,50.0,[0.0],1000.0,embedding,[0.01902591],[-0.41691327],0.01,dngo,20.0,200.0,9a325267--g-em-s-1-m-dngo-init-20-k-200-em-0-f-branin,median,0.0,1.0,200.0,branin,1.0,0.0
9b2ca360,UCB,1000.0,2018-08-21 15:05:08.095902,50.0,50.0,50.0,,1000.0,funcs,[3.09419157e-11],[-0.04292634],0.01,dngo,20.0,200.0,9b2ca360--g-funcs-s-1-m-dngo-init-20-k-200-f-sinone,median,0.0,1.0,200.0,sinone,1.0,0.0
9bbe0c91,UCB,1000.0,2018-08-21 19:09:56.922201,50.0,50.0,50.0,,1000.0,funcs,[0.00015362],[3.86262591],0.01,dngo,20.0,200.0,9bbe0c91--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-hartmann3,median,0.0,5.0,200.0,hartmann3,1.0,0.0
9c994b1d,UCB,1000.0,2018-08-21 10:46:12.323103,50.0,50.0,50.0,,1000.0,funcs,[1.34724202e-05],[-0.39790083],0.01,gp,20.0,200.0,9c994b1d--g-funcs-s-1-m-gp-init-20-k-200-f-branin,median,0.0,1.0,200.0,branin,1.0,0.0
9d58c64d,UCB,1000.0,2018-08-22 04:39:56.964302,50.0,50.0,50.0,,1000.0,funcs,[5.39126797e-08],[6.02074005],0.01,dngo,20.0,200.0,9d58c64d--g-funcs-s-1-m-dngo-nn-5-agg-max-init-20-k-200-f-forrester,max,0.0,5.0,200.0,forrester,1.0,0.0
9e2b473d,UCB,1000.0,2018-08-21 14:21:48.153439,50.0,50.0,50.0,,1000.0,funcs,[0.00022562],[-0.39811298],0.01,dngo,20.0,200.0,9e2b473d--g-funcs-s-1-m-dngo-init-20-k-200-f-branin,median,0.0,1.0,200.0,branin,1.0,0.0
9f380b14,UCB,1000.0,2018-08-21 21:13:11.291722,50.0,50.0,50.0,,1000.0,funcs,[2.59160061e-06],[-2.59160061e-06],0.01,dngo,20.0,200.0,9f380b14--g-funcs-s-1-m-dngo-nn-5-agg-max-init-20-k-200-f-levy,max,0.0,5.0,200.0,levy,1.0,0.0
a092e187,UCB,1000.0,2018-08-21 22:06:06.828071,50.0,50.0,50.0,,1000.0,funcs,[0.00011479],[3.86266474],0.01,dngo,20.0,200.0,a092e187--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-hartmann3,median,20.0,1.0,140.0,hartmann3,1.0,0.0
a1eee753,UCB,1000.0,2018-08-21 18:27:19.359320,50.0,50.0,50.0,,1000.0,funcs,[0.20044705],[-0.20044705],0.01,dngo,20.0,200.0,a1eee753--g-funcs-s-1-m-dngo-nn-10-agg-median-init-20-k-200-f-rosenbrock,median,0.0,10.0,200.0,rosenbrock,1.0,0.0
a22d6b68,UCB,1000.0,2018-08-21 11:41:13.064459,50.0,50.0,50.0,,1000.0,funcs,[0.22389834],[-3.22389834],0.01,dngo,20.0,200.0,a22d6b68--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-goldsteinprice,median,0.0,5.0,200.0,goldsteinprice,1.0,0.0
a232818c,UCB,1000.0,2018-08-21 13:06:28.086783,50.0,50.0,50.0,,1000.0,funcs,[0.0304],[-0.0304],0.01,dngo,20.0,200.0,a232818c--g-funcs-s-1-m-dngo-nn-5-agg-max-init-20-k-200-f-logistic_regression_mnist,max,0.0,5.0,200.0,logistic_regression_mnist,1.0,0.0
a2e99f4d,UCB,1000.0,2018-08-21 10:45:12.477819,50.0,50.0,50.0,,1000.0,epoch,[1.67382068e-05],[3.86276279],0.01,dngo,20.0,200.0,a2e99f4d--g-epoch-s-1-m-dngo-init-20-k-200-e-1000-f-hartmann3,median,0.0,1.0,200.0,hartmann3,1.0,0.0
a307972a,UCB,1000.0,2018-08-21 10:46:42.357631,50.0,50.0,50.0,,1000.0,funcs,[0.00013368],[-0.00013368],0.01,gp,20.0,200.0,a307972a--g-funcs-s-1-m-gp-init-20-k-200-f-rosenbrock,median,0.0,1.0,200.0,rosenbrock,1.0,0.0
a39c8c12,UCB,1000.0,2018-08-21 12:52:28.873510,50.0,50.0,50.0,,1000.0,funcs,[3.7809289e-10],[-0.04292634],0.01,dngo,20.0,200.0,a39c8c12--g-funcs-s-1-m-dngo-mcmc-20-init-20-k-200-f-sinone,median,20.0,1.0,200.0,sinone,1.0,0.0
a76d205c,UCB,1000.0,2018-08-21 16:45:34.896016,50.0,50.0,50.0,,1000.0,highdim,[1472.96590587],[-1472.96590587],0.01,dngo,100.0,200.0,a76d205c--g-highdim-s-1-m-dngo-init-100-k-200-f-rosenbrock8D,median,0.0,1.0,200.0,rosenbrock8D,1.0,0.0
a9d02d8d,UCB,1000.0,2018-08-21 14:56:05.895017,50.0,50.0,50.0,,1000.0,funcs,[0.20547038],[-0.20547038],0.01,dngo,20.0,200.0,a9d02d8d--g-funcs-s-1-m-dngo-init-20-k-200-f-rosenbrock,median,0.0,1.0,200.0,rosenbrock,1.0,0.0
aa1d5050,UCB,1000.0,2018-08-21 14:16:18.566157,50.0,50.0,50.0,,1000.0,funcs,[4.21884749e-15],[-0.04292634],0.01,gp,20.0,200.0,aa1d5050--g-funcs-s-1-m-gp-init-20-k-200-f-sinone,median,0.0,1.0,200.0,sinone,1.0,0.0
ab0746cd,UCB,1000.0,2018-08-21 16:45:34.244792,50.0,50.0,50.0,,1000.0,highdim,[893.41597855],[-893.41597855],0.01,dngo,100.0,200.0,ab0746cd--g-highdim-s-1-m-dngo-init-100-nn-5-agg-max-k-200-f-rosenbrock8D,max,0.0,5.0,200.0,rosenbrock8D,1.0,0.0
ab384be1,UCB,1000.0,2018-08-21 10:45:12.473030,50.0,50.0,50.0,,10000.0,epoch,[2.2690429e-05],[3.86275684],0.01,dngo,20.0,200.0,ab384be1--g-epoch-s-1-m-dngo-init-20-k-200-e-10000-f-hartmann3,median,0.0,1.0,200.0,hartmann3,1.0,0.0
abd84b35,UCB,1000.0,2018-08-22 01:26:44.640999,50.0,50.0,50.0,,1000.0,funcs,[0.18631535],[-0.18631535],0.01,dngo,20.0,200.0,abd84b35--g-funcs-s-1-m-dngo-nn-5-agg-median-init-20-k-200-f-rosenbrock,median,0.0,5.0,200.0,rosenbrock,1.0,0.0
aceab827,UCB,1000.0,2018-08-21 13:18:27.075134,50.0,50.0,50.0,,1000.0,highdim,[394.75477152],[-394.75477152],0.01,dngo,100.0,200.0,aceab827--g-highdim-s-1-m-dngo-init-100-nn-5-agg-median-k-200-f-rosenbrock10D,median,0.0,5.0,200.0,rosenbrock10D,1.0,0.0
adac9338,UCB,1000.0,2018-08-21 10:46:42.105589,50.0,50.0,50.0,,1000.0,funcs,[0.00010101],[3.86267852],0.01,dngo,20.0,200.0,adac9338--g-funcs-s-1-m-dngo-init-20-k-200-f-hartmann3,median,0.0,1.0,200.0,hartmann3,1.0,0.0
b136f101,UCB,1000.0,2018-08-21 16:12:10.533507,50.0,50.0,50.0,,1000.0,funcs,[5.4142804e-08],[6.02074005],0.01,dngo,20.0,200.0,b136f101--g-funcs-s-1-m-dngo-init-20-k-200-f-forrester,median,0.0,1.0,200.0,forrester,1.0,0.0
b14cdcef,UCB,1000.0,2018-08-21 13:23:25.773079,50.0,50.0,50.0,,1000.0,highdim,[1496.87561513],[-1496.87561513],0.01,dngo,100.0,200.0,b14cdcef--g-highdim-s-1-m-dngo-init-100-mcmc-20-k-200-f-rosenbrock10D,median,20.0,1.0,150.0,rosenbrock10D,1.0,0.0
b19e56fd,UCB,1000.0,2018-08-21 16:45:34.911798,50.0,50.0,50.0,,1000.0,highdim,[1133.19946604],[-1133.19946604],0.01,dngo,100.0,200.0,b19e56fd--g-highdim-s-1-m-dngo-init-100-nn-5-agg-median-k-200-f-rosenbrock8D,median,0.0,5.0,200.0,rosenbrock8D,1.0,0.0
b2ec9514,UCB,1000.0,2018-08-21 13:51:49.840276,50.0,50.0,50.0,,1000.0,funcs,[1.63215511e-07],[1.03162826],0.01,gp,20.0,200.0,b2ec9514--g-funcs-s-1-m-gp-init-20-k-200-f-camelback,median,0.0,1.0,200.0,camelback,1.0,0.0
b3314596,UCB,1000.0,2018-08-22 00:16:23.008950,50.0,50.0,50.0,,1000.0,funcs,[3.87929133e-11],[-0.04292634],0.01,dngo,20.0,200.0,b3314596--g-funcs-s-1-m-dngo-nn-10-agg-median-init-20-k-200-f-sinone,median,0.0,10.0,200.0,sinone,1.0,0.0
