uuid,acq,activations,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,nn_training,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
dc1e5120,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:30:42.417822,50,50,50,,1000,funcs,[3.16709779],[3.16709779],0.01,dngo,50,200,dc1e5120--g-funcs-s-4-m-dngo-l2-0.0001-nnt-retrain-reset-init-50-k-200-f-hartmann6,median,retrain-reset,0,1,120,hartmann6,4,0.0001
dd0e8929,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 10:22:49.712496,50,50,50,,1000,funcs,[9.09344203e-08],[-9.09344203e-08],0.01,dngo,50,200,dd0e8929--g-funcs-s-1-m-dngo-nnt-retrain-reset-init-50-k-200-f-levy,median,retrain-reset,0,1,200,levy,1,0.0
de044241,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:58:50.838875,50,50,50,,1000,funcs,[0.00384952],[-0.40173688],0.01,dngo,50,200,de044241--g-funcs-s-1-m-dngo-nnt-retrain-reset-init-50-k-200-f-branin,median,retrain-reset,0,1,200,branin,1,0.0
de9a750f,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:07:06.603631,50,50,50,,1000,funcs,[-0.39829345],[-0.39829345],0.01,dngo,50,200,de9a750f--g-funcs-s-4-m-dngo-l2-0.0001-nnt-retrain-reset-init-50-k-200-f-branin,median,retrain-reset,0,1,200,branin,4,0.0001
df5eca32,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 13:18:08.215461,50,50,50,,1000,funcs,[3.86212837],[3.86212837],0.01,dngo,50,200,df5eca32--g-funcs-s-2-m-dngo-l2-0.0001-nnt-retrain-reset-nn-5-agg-average-init-50-k-200-f-hartmann3,average,retrain-reset,0,5,200,hartmann3,2,0.0001
dfffa695,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:41:14.555533,50,50,50,,1000,funcs,[0.00011432],[-0.00195699],0.01,dngo,50,200,dfffa695--g-funcs-s-1-m-dngo-init-50-k-200-f-sintwo,median,fixed,0,1,200,sintwo,1,0.0
e04e3ccc,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 13:11:10.209647,50,50,50,,1000,funcs,[-0.40117899],[-0.40117899],0.01,dngo,50,200,e04e3ccc--g-funcs-s-2-m-dngo-l2-0.0001-nnt-fixed-init-50-k-200-f-branin,median,fixed,0,1,200,branin,2,0.0001
e0bb1582,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 11:46:44.935123,50,50,50,,1000,funcs,[0.02093161],[1.01069681],0.01,dngo,50,200,e0bb1582--g-funcs-s-1-m-dngo-init-50-k-200-f-camelback,median,fixed,0,1,200,camelback,1,0.0
e10e0e5f,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 16:52:55.107965,50,50,50,,1000,ensemble,[0.10340554],[-0.5012929],0.01,dngo,20,200,e10e0e5f--g-ensemble-s-1-m-dngo-l2-0.0001-nnt-fixed-init-20-k-200-f-branin-nn-5-agg-average,average,fixed,0,5,200,branin,1,0.0001
e1673718,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 16:52:54.814085,50,50,50,,1000,ensemble,[0.00330156],[-0.40118891],0.01,dngo,20,200,e1673718--g-ensemble-s-1-m-dngo-l2-0.0001-nnt-fixed-init-20-k-200-f-branin-nn-10-agg-median,median,fixed,0,10,200,branin,1,0.0001
e445d1e3,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 20:39:36.404855,50,50,50,,1000,funcs,[3.70829854],[3.70829854],0.01,dngo,50,200,e445d1e3--g-funcs-s-2-m-dngo-l2-0.0001-nnt-fixed-nn-10-agg-max-init-50-k-200-f-hartmann3,max,fixed,0,10,50,hartmann3,2,0.0001
e5d11f03,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:06:39.053622,50,50,50,,1000,funcs,[3.86220574],[3.86220574],0.01,dngo,50,200,e5d11f03--g-funcs-s-3-m-dngo-l2-0.0001-nnt-retrain-reset-init-50-k-200-f-hartmann3,median,retrain-reset,0,1,180,hartmann3,3,0.0001
e64b805e,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 12:22:58.931087,50,50,50,,1000,funcs,[0.00526019],[-0.00710286],0.01,dngo,50,200,e64b805e--g-funcs-s-1-m-dngo-init-50-k-200-f-sintwo,median,fixed,0,1,200,sintwo,1,0.0
e7adf8a3,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:55:20.123436,50,50,50,,1000,funcs,[2.94443453e-07],[-0.04292664],0.01,dngo,50,200,e7adf8a3--g-funcs-s-1-m-dngo-nn-10-agg-average-init-50-k-200-f-sinone,average,fixed,0,10,140,sinone,1,0.0
e7bc0f1c,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:07:06.556594,50,50,50,,1000,funcs,[2.64355955],[2.64355955],0.01,dngo,50,200,e7bc0f1c--g-funcs-s-4-m-dngo-l2-0.0001-nnt-fixed-nn-10-agg-average-init-50-k-200-f-hartmann6,average,fixed,0,10,10,hartmann6,4,0.0001
e7eda25a,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:37:15.524387,50,50,50,,1000,funcs,[1.32559444],[-4.32559444],0.01,dngo,50,200,e7eda25a--g-funcs-s-1-m-dngo-nnt-retrain-init-50-k-200-f-goldsteinprice,median,retrain,0,1,200,goldsteinprice,1,0.0
e832c8a2,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 11:33:37.138345,50,50,50,,1000,funcs,[0.48119603],[2.84117198],0.01,dngo,50,200,e832c8a2--g-funcs-s-1-m-dngo-nnt-retrain-reset-nn-10-agg-average-init-50-k-200-f-hartmann6,average,retrain-reset,0,10,20,hartmann6,1,0.0
e834b168,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:37:14.671489,50,50,50,,1000,funcs,[0.00045847],[3.86232107],0.01,dngo,50,200,e834b168--g-funcs-s-1-m-dngo-nnt-retrain-init-50-k-200-f-hartmann3,median,retrain,0,1,200,hartmann3,1,0.0
e8af3045,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 11:36:07.845337,50,50,50,,1000,funcs,[0.0134971],[-0.41138445],0.01,dngo,50,200,e8af3045--g-funcs-s-1-m-dngo-init-50-k-200-f-branin,median,fixed,0,1,200,branin,1,0.0
e9966cb6,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 12:55:34.101721,50,50,50,,1000,funcs,[3.95101242],[-3.95101242],0.01,dngo,50,200,e9966cb6--g-funcs-s-1-m-dngo-nn-10-agg-average-init-50-k-200-f-rosenbrock,average,fixed,0,10,200,rosenbrock,1,0.0
ea2d33c6,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:07:06.512824,50,50,50,,1000,funcs,[3.30063829],[3.30063829],0.01,gp,50,200,ea2d33c6--g-funcs-s-4-m-gp-init-50-k-200-f-hartmann6,median,fixed,0,1,180,hartmann6,4,0.0
ea717532,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:06:37.055951,50,50,50,,1000,funcs,[-0.40316604],[-0.40316604],0.01,dngo,50,200,ea717532--g-funcs-s-3-m-dngo-l2-0.0001-nnt-retrain-init-50-k-200-f-branin,median,retrain,0,1,200,branin,3,0.0001
eaa37818,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 11:49:55.538533,50,50,50,,1000,funcs,[-0.0148],[-0.0148],0.01,gp,2,100,eaa37818--g-funcs-s-1-f-svm_mnist-m-gp-init-2-k-100,median,fixed,0,1,10,svm_mnist,1,0.0
eaec92b2,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 16:52:54.126330,50,50,50,,10000,epoch,[4.551641e-07],[-0.0429268],0.01,dngo,20,200,eaec92b2--g-epoch-s-1-m-dngo-l2-0.0001-nnt-fixed-init-20-k-200-e-10000-f-sinone,median,fixed,0,1,200,sinone,1,0.0001
ebbeb05e,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:29:12.896198,50,50,50,,1000,funcs,[3.86140988],[3.86140988],0.01,dngo,50,200,ebbeb05e--g-funcs-s-4-m-dngo-l2-0.0001-nnt-retrain-reset-init-50-k-200-f-hartmann3,median,retrain-reset,0,1,170,hartmann3,4,0.0001
ed9ee306,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:41:14.295498,50,50,50,,1000,funcs,[1.09539607],[-4.09539607],0.01,dngo,50,200,ed9ee306--g-funcs-s-1-m-dngo-init-50-k-200-f-goldsteinprice,median,fixed,0,1,200,goldsteinprice,1,0.0
edc653f9,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 11:48:39.740777,50,50,50,,1000,funcs,[-0.07094781],[-0.07094781],0.01,dngo,2,100,edc653f9--g-funcs-s-1-f-lr_mnist-m-dngo-l2-0.0001-nnt-retrain-reset-init-2-k-100,median,retrain-reset,0,1,40,lr_mnist,1,0.0001
ef1d6aba,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:40:47.331594,50,50,50,,1000,funcs,[5.57670603e-08],[6.02074006],0.01,gp,50,200,ef1d6aba--g-funcs-s-1-m-gp-init-50-k-200-f-forrester,median,fixed,0,1,200,forrester,1,0.0
f023d842,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:41:14.255040,50,50,50,,1000,funcs,[0.00440589],[1.02722253],0.01,dngo,50,200,f023d842--g-funcs-s-1-m-dngo-init-50-k-200-f-camelback,median,fixed,0,1,200,camelback,1,0.0
f23e23ac,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:41:14.317749,50,50,50,,1000,funcs,[0.0198679],[3.84291163],0.01,dngo,50,200,f23e23ac--g-funcs-s-1-m-dngo-nn-10-agg-average-init-50-k-200-f-hartmann3,average,fixed,0,10,50,hartmann3,1,0.0
f27011a2,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 13:31:08.427587,50,50,50,,1000,l2,[0.01038782],[-0.40827518],0.01,dngo,20,200,f27011a2--g-l2-s-1-m-dngo-nnt-fixed-init-20-k-200-l2-0.00001-f-branin,median,fixed,0,1,200,branin,1,1e-05
f511e893,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:53:41.026368,50,50,50,,1000,funcs,[2.30555174],[2.30555174],0.01,dngo,50,200,f511e893--g-funcs-s-3-m-dngo-l2-0.0001-nnt-fixed-nn-10-agg-max-init-50-k-200-f-hartmann6,max,fixed,0,10,20,hartmann6,3,0.0001
f551087e,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 11:53:04.294310,50,50,50,,1000,funcs,[13.95357746],[-16.95357746],0.01,dngo,50,200,f551087e--g-funcs-s-1-m-dngo-init-50-k-200-f-goldsteinprice,median,fixed,0,1,200,goldsteinprice,1,0.0
f5ab35b8,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 10:33:20.574310,50,50,50,,1000,funcs,[1.49485228e-05],[-0.00185762],0.01,dngo,50,200,f5ab35b8--g-funcs-s-1-m-dngo-nnt-retrain-reset-init-50-k-200-f-sintwo,median,retrain-reset,0,1,200,sintwo,1,0.0
f5c1db18,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:37:13.629759,50,50,50,,1000,funcs,[0.93626041],[2.3861076],0.01,dngo,50,200,f5c1db18--g-funcs-s-1-m-dngo-nnt-retrain-nn-10-agg-average-init-50-k-200-f-hartmann6,average,retrain,0,10,20,hartmann6,1,0.0
f9ed611f,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 17:10:08.727808,50,50,50,,1000,funcs,0.011461254716697455,-0.4093486124466975,0.01,dngo,50,200,f9ed611f--g-funcs-s-1-m-dngo-l2-0.0001-nnt-fixed-init-50-k-200-f-branin,median,fixed,0,1,200,branin,1,0.0001
fa24f771,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 15:31:42.232521,50,50,50,,1000,funcs,[3.79678052],[3.79678052],0.01,dngo,50,200,fa24f771--g-funcs-s-4-m-dngo-l2-0.0001-nnt-fixed-nn-10-agg-max-init-50-k-200-f-hartmann3,max,fixed,0,10,50,hartmann3,4,0.0001
fada4d96,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 13:37:35.354865,50,50,50,,1000,l2,[0.00964284],[-0.4075302],0.01,dngo,50,200,fada4d96--g-l2-s-1-m-dngo-nnt-fixed-init-50-k-200-l2-0.00001-f-branin,median,fixed,0,1,200,branin,1,1e-05
fb90c8ad,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 20:40:10.149238,50,50,50,,1000,funcs,[2.79706223],[2.79706223],0.01,dngo,50,200,fb90c8ad--g-funcs-s-2-m-dngo-l2-0.0001-nnt-fixed-nn-10-agg-max-init-50-k-200-f-hartmann6,max,fixed,0,10,10,hartmann6,2,0.0001
fe9cf038,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 13:11:12.726162,50,50,50,,1000,funcs,[3.11301498],[3.11301498],0.01,gp,50,200,fe9cf038--g-funcs-s-2-m-gp-init-50-k-200-f-hartmann6,median,fixed,0,1,180,hartmann6,2,0.0
ff0af6b7,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 09:40:48.021931,50,50,50,,1000,funcs,[0.00110988],[3.32125813],0.01,gp,50,200,ff0af6b7--g-funcs-s-1-m-gp-init-50-k-200-f-hartmann6,median,fixed,0,1,200,hartmann6,1,0.0
ffd94d50,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-25 20:44:38.144584,50,50,50,,1000,funcs,[3.8613478],[3.8613478],0.01,dngo,50,200,ffd94d50--g-funcs-s-4-m-dngo-l2-0.0001-nnt-retrain-reset-nn-5-agg-average-init-50-k-200-f-hartmann3,average,retrain-reset,0,5,140,hartmann3,4,0.0001
