uuid,acq,activations,batch_size,date,dim_basis,dim_h1,dim_h2,embedding,epochs,group,immediate_regret,incumbent,lr,model,n_init,n_iter,name,nn_aggregator,nn_fixed,num_mcmc,num_nn,num_steps,obj_func,seed,weight_decay
7c5d0080,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:56.152009,50,50,50,,1000,funcs2,[0.64194453],[5.37879547],0.01,dngo,20,200,7c5d0080--g-funcs2-s-1-m-dngo-nn-10-agg-average-init-20-k-200-f-forrester,average,True,0,10,10,forrester,1,0.0
7d1664dc,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:01.387396,50,50,50,,1000,epoch,[0.00052348],[3.86225605],0.01,dngo,20,200,7d1664dc--g-epoch-s-1-m-dngo-init-20-k-200-e-1000-f-hartmann3,median,True,0,1,190,hartmann3,1,0.0
7df1f193,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:00.335870,50,50,50,,10000,epoch,[0.04706535],[-0.44495271],0.01,dngo,20,200,7df1f193--g-epoch-s-1-m-dngo-init-20-k-200-e-10000-f-branin,median,True,0,1,200,branin,1,0.0
7f1f9519,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:00:29.384122,50,50,50,,1000,l2,[0.00964284],[-0.4075302],0.01,dngo,20,200,7f1f9519--g-l2-s-1-m-dngo-init-20-k-200-l2-0.0-f-branin,median,True,0,1,200,branin,1,0.0
88280f35,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:41.736081,50,50,50,,1000,funcs,[1.19611886e-07],[-0.04292646],0.01,dngo,30,200,88280f35--g-funcs-s-1-m-dngo-l2-0.0001-init-30-k-200-f-sinone,median,True,0,1,200,sinone,1,0.0001
895edfb0,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:13.585929,50,50,50,,1000,funcs,[0.00422612],[-0.40211348],0.01,dngo,30,200,895edfb0--g-funcs-s-1-m-dngo-l2-0.0001-init-30-k-200-f-branin,median,True,0,1,200,branin,1,0.0001
8a93e794,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:56.721754,50,50,50,,1000,funcs2,[30.28199148],[-33.28199148],0.01,dngo,20,200,8a93e794--g-funcs2-s-1-m-dngo-nn-10-agg-average-init-20-k-200-f-goldsteinprice,average,True,0,10,20,goldsteinprice,1,0.0
8b8f2c2c,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:59.585251,50,50,50,,1000,funcs,[5.57635964e-08],[6.02074006],0.01,gp,30,200,8b8f2c2c--g-funcs-s-1-m-gp-init-30-k-200-f-forrester,median,True,0,1,200,forrester,1,0.0
8dadcdfd,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:43.242053,50,50,50,,1000,funcs,[2.74597726e-07],[-2.74597726e-07],0.01,dngo,30,200,8dadcdfd--g-funcs-s-1-m-dngo-l2-0.0001-init-30-k-200-f-levy,median,True,0,1,200,levy,1,0.0001
8fba177a,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:27.782525,50,50,50,,1000,ensemble,[0.00022554],[-0.3981129],0.01,dngo,20,200,8fba177a--g-ensemble-s-1-m-dngo-init-20-k-200-f-branin-nn-15-agg-median,median,True,0,15,200,branin,1,0.0
93434a74,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:00.031798,50,50,50,,10000,epoch,[0.00232636],[3.86045317],0.01,dngo,20,200,93434a74--g-epoch-s-1-m-dngo-init-20-k-200-e-10000-f-hartmann3,median,True,0,1,200,hartmann3,1,0.0
93452236,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:00.162406,50,50,50,,100,epoch,[0.05344966],[3.80932987],0.01,dngo,20,200,93452236--g-epoch-s-1-m-dngo-init-20-k-200-e-100-f-hartmann3,median,True,0,1,20,hartmann3,1,0.0
9942a0c2,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:11.754583,50,50,50,,1000,funcs,[0.77608255],[3.08669698],0.01,dngo,30,200,9942a0c2--g-funcs-s-1-m-dngo-l2-0.0001-nn-10-agg-average-init-30-k-200-f-hartmann3,average,True,0,10,200,hartmann3,1,0.0001
99feb170,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:13.028509,50,50,50,,1000,funcs,[9.1527295e-08],[-9.1527295e-08],0.01,dngo,30,200,99feb170--g-funcs-s-1-m-dngo-l2-0.0001-nn-10-agg-average-init-30-k-200-f-levy,average,True,0,10,200,levy,1,0.0001
9a562f91,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:00:29.264745,50,50,50,,1000,l2,[0.00964284],[-0.4075302],0.01,dngo,20,200,9a562f91--g-l2-s-1-m-dngo-init-20-k-200-l2-0.0001-f-branin,median,True,0,1,200,branin,1,0.0001
9b370b75,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:03:13.104860,50,50,50,,100,epoch,[0.00017861],[3.86260093],0.01,dngo,20,200,9b370b75--g-epoch-s-1-m-dngo-init-20-k-200-e-100-f-hartmann3,median,True,0,1,200,hartmann3,1,0.0
9d9d31bc,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.694082,50,50,50,,1000,funcs2,[2.69229083e-14],[-0.04292634],0.01,gp,20,200,9d9d31bc--g-funcs2-s-1-m-gp-init-20-k-200-f-sinone,median,True,0,1,100,sinone,1,0.0
9ef97ae9,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:55.909346,50,50,50,,1000,funcs2,[0.53670287],[0.49492555],0.01,dngo,20,200,9ef97ae9--g-funcs2-s-1-m-dngo-nn-10-agg-average-init-20-k-200-f-camelback,average,True,0,10,20,camelback,1,0.0
9f590651,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:13.204028,50,50,50,,1000,funcs,[0.00216816],[3.32019985],0.01,dngo,30,200,9f590651--g-funcs-s-1-m-dngo-l2-0.0001-nn-10-agg-average-init-30-k-200-f-hartmann6,average,True,0,10,90,hartmann6,1,0.0001
a1ff6200,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.329729,50,50,50,,1000,funcs2,[0.3676756],[-0.3676756],0.01,gp,20,200,a1ff6200--g-funcs2-s-1-m-gp-init-20-k-200-f-rosenbrock,median,True,0,1,40,rosenbrock,1,0.0
a3aced30,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:04:43.814462,50,50,50,,1000,n_init,[0.00384952],[-0.40173688],0.01,dngo,100,200,a3aced30--g-init-s-1-m-dngo-init-100-k-200-e-1000-f-branin,median,True,0,1,200,branin,1,0.0
a4f0e0fe,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:33:56.214285,50,50,50,,1000,funcs2,[2.53123426],[-5.53123426],0.01,dngo,20,200,a4f0e0fe--g-funcs2-s-1-m-dngo-init-20-k-200-f-goldsteinprice,median,True,0,1,160,goldsteinprice,1,0.0
a59f5fe5,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:00:29.448692,50,50,50,,1000,l2,[3.23194512e-06],[-0.39789059],0.01,gp,20,200,a59f5fe5--g-l2-s-1-m-gp-init-20-k-200-f-branin,median,True,0,1,200,branin,1,0.0
a8d1b9a6,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:36:42.204103,50,50,50,,1000,funcs,[0.01198769],[3.31038032],0.01,gp,30,200,a8d1b9a6--g-funcs-s-1-m-gp-init-30-k-200-f-hartmann6,median,True,0,1,190,hartmann6,1,0.0
a918e3d0,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:14.098385,50,50,50,,1000,funcs,[2.26479946e-12],[-0.04292634],0.01,gp,30,200,a918e3d0--g-funcs-s-1-m-gp-init-30-k-200-f-sinone,median,True,0,1,200,sinone,1,0.0
ac1be09b,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:37:11.752352,50,50,50,,1000,funcs,[0.00330156],[-0.40118891],0.01,dngo,30,200,ac1be09b--g-funcs-s-1-m-dngo-l2-0.0001-nn-10-agg-average-init-30-k-200-f-branin,average,True,0,10,200,branin,1,0.0001
aea5fa66,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 13:04:41.761909,50,50,50,,1000,n_init,[0.00615265],[-0.40404001],0.01,dngo,80,200,aea5fa66--g-init-s-1-m-dngo-init-80-k-200-e-1000-f-branin,median,True,0,1,200,branin,1,0.0
b102e57b,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:27.768715,50,50,50,,1000,ensemble,[0.00022562],[-0.39811298],0.01,dngo,20,200,b102e57b--g-ensemble-s-1-m-dngo-init-20-k-200-f-branin-nn-10-agg-average,average,True,0,10,200,branin,1,0.0
b4e4e945,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:00:59.988717,50,50,50,,1000,epoch,[0.01038785],[-0.40827521],0.01,dngo,20,200,b4e4e945--g-epoch-s-1-m-dngo-init-20-k-200-e-1000-f-branin,median,True,0,1,200,branin,1,0.0
bc2fcf3f,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-23 12:01:01.393666,50,50,50,,1000,ensemble,[0.04429266],[-0.44218002],0.01,dngo,20,200,bc2fcf3f--g-ensemble-s-1-m-dngo-init-20-k-200-f-branin-nn-5-agg-max,max,True,0,5,200,branin,1,0.0
bd1ce0ff,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.267975,50,50,50,,1000,funcs2,[4.96749908e-05],[-0.39793703],0.01,gp,20,200,bd1ce0ff--g-funcs2-s-1-m-gp-init-20-k-200-f-branin,median,True,0,1,40,branin,1,0.0
c0578510,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:33:56.212587,50,50,50,,1000,funcs2,[0.03830368],[3.82447585],0.01,dngo,20,200,c0578510--g-funcs2-s-1-m-dngo-init-20-k-200-f-hartmann3,median,True,0,1,30,hartmann3,1,0.0
c3076641,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:33:56.216039,50,50,50,,1000,funcs2,[1.90520956],[-1.90520956],0.01,dngo,20,200,c3076641--g-funcs2-s-1-m-dngo-init-20-k-200-f-rosenbrock,median,True,0,1,200,rosenbrock,1,0.0
c6195988,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.506005,50,50,50,,1000,funcs2,[4.87009965],[-7.87009965],0.01,gp,20,200,c6195988--g-funcs2-s-1-m-gp-init-20-k-200-f-goldsteinprice,median,True,0,1,60,goldsteinprice,1,0.0
c6a5afd7,UCB,"['relu', 'relu', 'tanh']",1000,2018-08-24 07:34:26.064501,50,50,50,,1000,funcs2,[0.7797183],[-0.7797183],0.01,gp,20,200,c6a5afd7--g-funcs2-s-1-m-gp-init-20-k-200-f-bohachevsky,median,True,0,1,40,bohachevsky,1,0.0
